Country Name,Country Code,GDP,AgricultureForestryFisheryValue,HealthExpenditurePerCapita ,GDPPerEmployedPerson
Sub-Saharan Africa (excluding high income),SSA,1.69E+12,2.91E+11,83.69329497,10330.72283
Sub-Saharan Africa,SSF,1.69E+12,2.91E+11,83.75881801,10337.52404
Small states,SST,4.85E+11,12566245311,602.0382081,50444.58089
Sao Tome and Principe,STP,375040173.8,27117843.69,119.6956558,13540.81259
Suriname,SUR,3068766110,541035714.8,339.3279724,45157.47568
Slovak Republic,SVK,95241436352,2654639667,1186.136353,66249.73357
Slovenia,SVN,48441722816,996245428.6,1920.28186,78762.65041
Sweden,SWE,5.41E+11,9603821275,5904.583984,106472.3534
Eswatini,SWZ,4446248678,482709722.3,224.7367706,34226.99452
Chad,TCD,9975692095,6354217635,29.73086357,4337.740678
East Asia & Pacific (IDA & IBRD countries),TEA,1.46E+13,1.04E+12,344.2893992,24851.77186
Europe & Central Asia (IDA & IBRD countries),TEC,3.91E+12,2.49E+11,462.7153099,50829.05068
Togo,TGO,4819949975,1371548703,38.04871368,3407.060825
Thailand,THA,4.55E+11,37700958464,247.0351105,31515.28008
Tajikistan,TJK,7157865188,1716300712,57.89985275,13071.70237
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.75E+12,2.98E+11,678.3151987,36640.70654
Timor-Leste,TLS,1609669330,187757578.7,83.19770813,7982.369771
Middle East & North Africa (IDA & IBRD countries),TMN,1.43E+12,1.40E+11,262.1530717,40679.31323
South Asia (IDA & IBRD),TSA,3.35E+12,4.54E+11,64.46539304,16587.94022
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.69E+12,2.91E+11,83.75881801,10337.52404
Trinidad and Tobago,TTO,22474828527,140106202.9,1124.091675,56348.81464
Tunisia,TUN,39813383484,4101137645,250.5622253,35504.05879
Turkey,TUR,8.53E+11,84742210693,444.6536865,79499.11331
Tanzania,TZA,53320625959,11144747393,33.91657639,5381.792947
Uganda,UGA,25995031850,6143803731,38.42644119,4808.417163
Ukraine,UKR,1.12E+11,13327158627,177.4088898,27042.73185
Upper middle income,UMC,2.29E+13,1.38E+12,489.7739256,33646.77981
Uruguay,URY,56488991831,3181914402,1591.533203,45510.26085
United States,USA,1.95E+13,1.78E+11,10246.13867,124020.7845
Uzbekistan,UZB,59159945321,19540341412,98.82457733,14905.3608
St. Vincent and the Grenadines,VCT,792177777.8,48856880.62,320.5932922,29830.82483
Vietnam,VNM,2.24E+11,25918398915,129.5759583,12217.49254
World,WLD,8.10E+13,3.10E+12,1061.057136,37909.66317
Samoa,WSM,831903814.1,77058388.97,233.0650635,26995.96912
South Africa,ZAF,3.50E+11,10634525876,499.2375488,43744.72728
Zambia,ZMB,25868142077,2171937212,67.64866638,9648.782217
Zimbabwe,ZWE,22813010116,1519843973,110.1496201,6927.29074
