Ranking (Worst Air Quality),Location,Year,Average (µg/m3),Median (µg/m3),Lower (µg/m3),Upper (µg/m3)
105,Croatia,2017,17.9,17.5,10.7,28.1
106,Nicaragua,2017,17.6,17,8.4,30.4
106,Slovakia,2017,17.6,17.4,13.1,23.1
107,The Bahamas,2017,17.4,15.9,7.4,33.8
108,Cyprus,2017,17.3,16.8,12.7,23.9
109,Swaziland,2017,17.2,16.7,10.2,26.2
110,Venezuela,2017,17,15.8,6.6,35
111,Italy,2017,16.8,15.6,8.6,27.8
112,Colombia,2017,16.5,14.9,6.6,35.5
112,Indonesia,2017,16.5,16.1,12.9,21.7
113,Moldova,2017,16.3,15.9,9.9,26
114,Greece,2017,16.2,15.7,10.1,26.3
114,Russian Federation,2017,16.2,16.1,12.7,20.2
115,Czech Republic,2017,16.1,15.2,10.7,27.8
116,Malaysia,2017,16,15.9,6.7,25.9
116,Slovenia,2017,16,15.7,11.3,21.5
117,Hungary,2017,15.9,15.6,11.5,21.9
118,Costa Rica,2017,15.7,16.1,9.5,21.3
119,Haiti,2017,15,13.5,6.3,33
120,Ecuador,2017,14.9,14.5,8.3,24.7
121,Romania,2017,14.6,14.3,9.1,21.6
122,Mauritius,2017,14.5,13.8,7.2,26.8
123,Malta,2017,13.9,14.1,10.4,18.2
124,Kazakhstan,2017,13.8,11.8,3.1,37.7
125,Dominican Republic,2017,13.7,12.5,5.6,28.3
126,Latvia,2017,13.4,12.5,7.8,23.9
126,Jamaica,2017,13.4,13.1,8.7,21.9
127,Argentina,2017,13.3,11.6,5.4,31.1
128,Belgium,2017,12.9,12.8,8.6,17.2
129,Brazil,2017,12.7,12.7,10.2,15.3
130,Austria,2017,12.5,12.5,8,18.3
130,American Samoa,2017,12.5,11.9,6.7,20.6
131,Papua New Guinea,2017,12.3,10,3.4,35.4
132,Netherlands,2017,12,12,9.6,14.8
132,Germany,2017,12,11.8,8.6,16.7
133,Paraguay,2017,11.9,11.5,5.6,21.1
133,Solomon Islands,2017,11.9,10.3,3.8,29.5
133,Lithuania,2017,11.9,11.5,8.6,16.3
134,France,2017,11.8,11.6,8.1,16.5
135,Japan,2017,11.7,11.8,10.3,13
135,Vanuatu,2017,11.7,10.5,3.7,25.8
136,Bermuda,2017,11.6,11.3,7,18
136,Guam,2017,11.6,11.4,7.1,18.8
136,Greenland,2017,11.6,10.7,4.9,24.8
137,Samoa,2017,11.5,10.4,3.5,26
138,Panama,2017,11.4,11.2,6.2,18.2
139,Federated States of Micronesia,2017,11.3,10.4,4.1,23
140,Sri Lanka,2017,11.1,7.2,2.4,27.3
141,Fiji,2017,10.8,9.9,4,22.4
141,Tonga,2017,10.8,10.1,4.2,21.7
142,Kiribati,2017,10.6,9.9,4.2,21.8
143,United Kingdom,2017,10.5,10.5,9.7,11.2
144,Luxembourg,2017,10.4,10.5,7.7,12.7
145,Andorra,2017,10.3,9.5,7.5,15.7
145,Switzerland,2017,10.3,10.1,7.4,14
145,"Virgin Islands, U.S.",2017,10.3,9.7,5.7,18.6
146,Marshall Islands,2017,10.2,9.6,4.4,20.3
147,Denmark,2017,10,10,7.3,13.1
148,Northern Mariana Islands,2017,9.9,9.5,5.9,15.7
149,Spain,2017,9.7,9.5,6.1,14.2
150,Uruguay,2017,9.3,8.7,5.4,17.3
151,Australia,2017,8.6,7.2,4,18.3
152,Puerto Rico,2017,8.3,8.1,4.6,13.4
153,Ireland,2017,8.2,8.2,6.1,10.5
153,Portugal,2017,8.2,8,4.9,12.6
154,Maldives,2017,7.8,7.7,5.6,10.6
155,United States,2017,7.4,7.5,6.1,8.5
156,Norway,2017,7,7,6,7.7
157,Estonia,2017,6.7,6.7,4.8,9.1
158,Iceland,2017,6.5,5.8,4.2,13.8
159,Canada,2017,6.4,6.4,3.9,8.9
160,Sweden,2017,6.2,6,4.3,9.7
161,New Zealand,2017,6,5.8,3.9,9.2
162,Brunei,2017,5.9,5.9,4.1,8.1
162,Finland,2017,5.9,5.9,3.8,7.8
